Temperature	Field	Energy	Magnetization	SpecificHeat	Susceptibility	M_x
0.56	0	-1.69681	0.845545	0.00160837	0.000824737	0.529789
0.565	0	-1.69908	0.851386	0.0020908	0.000454896	0.179099
0.57	0	-1.68247	0.836717	0.00155571	0.000535166	0.358792
0.575	0	-1.68375	0.828502	0.00178783	0.00120703	0.815712
0.58	0	-1.68058	0.82541	0.00113315	0.00040999	0.407706
0.585	0	-1.67745	0.831566	0.00162071	0.000778928	0.790832
0.59	0	-1.67548	0.840124	0.0011067	0.00033012	0.817283
0.595	0	-1.67072	0.823106	0.00118414	0.000918504	-0.0247587
0.6	0	-1.67501	0.833501	0.00146362	0.00104155	0.565787
0.605	0	-1.67017	0.831635	0.00108029	0.000672196	0.807256
0.61	0	-1.66595	0.80538	0.00129923	0.000660465	0.55682
0.615	0	-1.66233	0.80455	0.00161771	0.000930358	0.561181
0.62	0	-1.66346	0.828955	0.00124888	0.000548195	0.721607
0.625	0	-1.6516	0.836283	0.00166094	0.000345948	0.623116
0.63	0	-1.64075	0.814733	0.00125623	0.00101919	0.641704
0.635	0	-1.64976	0.823806	0.00185989	0.00113235	0.819229
0.64	0	-1.63453	0.804253	0.00184806	0.000450045	0.698239
0.645	0	-1.64232	0.819214	0.00189549	0.000779568	0.713441
0.65	0	-1.64284	0.810854	0.00124075	0.00156908	0.759652
0.655	0	-1.64156	0.799002	0.00139172	0.00192978	0.682302
0.66	0	-1.62172	0.798753	0.00145708	0.00109808	0.785692
0.665	0	-1.62594	0.781851	0.00120741	0.00166838	0.59581
0.67	0	-1.61157	0.776951	0.00179803	0.00214324	0.743338
0.675	0	-1.61561	0.797876	0.00168032	0.00086365	0.78608
0.68	0	-1.61526	0.800595	0.00133993	0.000617405	-0.0365837
0.685	0	-1.61091	0.77129	0.00130262	0.00230136	0.741074
0.69	0	-1.6028	0.776478	0.00203149	0.000914422	0.533239
0.695	0	-1.60132	0.802257	0.0013403	0.000541668	0.634422
0.7	0	-1.59634	0.783006	0.00140398	0.000675962	0.559441
0.705	0	-1.59025	0.764781	0.00175933	0.00130638	0.344766
0.71	0	-1.59625	0.785138	0.00138756	0.00203267	-0.231747
0.715	0	-1.59914	0.787424	0.00148657	0.000932756	-0.315288
0.72	0	-1.58747	0.797681	0.00211365	0.00174379	0.766261
0.725	0	-1.57129	0.741911	0.00172594	0.00123407	-0.298259
0.73	0	-1.58133	0.772311	0.00146362	0.000763503	0.3045
0.735	0	-1.58247	0.786202	0.00172874	0.000741968	0.702472
0.74	0	-1.58696	0.798549	0.00129932	0.000816396	0.678564
0.745	0	-1.57686	0.763327	0.00136501	0.000868402	0.58051
0.75	0	-1.55646	0.767833	0.00173949	0.0010248	0.422007
0.755	0	-1.56665	0.778352	0.00154859	0.000911943	0.774853
0.76	0	-1.56249	0.785003	0.00181243	0.000636634	0.752478
0.765	0	-1.57348	0.780232	0.00160849	0.000553234	0.762181
0.77	0	-1.55342	0.77077	0.00171914	0.000623165	0.713635
0.775	0	-1.54906	0.743222	0.00162712	0.0013597	0.716903
0.78	0	-1.54019	0.766961	0.00208342	0.000860348	0.0687583
0.785	0	-1.54442	0.753225	0.00169866	0.000658477	-0.514163
0.79	0	-1.53297	0.750108	0.0017532	0.000815063	0.530156
0.795	0	-1.52781	0.753813	0.00218794	0.000626461	0.591621
0.8	0	-1.52044	0.745364	0.00195339	0.000934133	-0.322133
0.805	0	-1.51801	0.764948	0.00248759	0.000829201	0.694895
0.81	0	-1.51596	0.749404	0.00214931	0.00206142	0.735817
0.815	0	-1.50966	0.706261	0.00138368	0.000805543	0.57294
0.82	0	-1.5222	0.749181	0.00188074	0.00099861	-0.0735159
0.825	0	-1.49283	0.723501	0.0019012	0.00179106	0.715652
0.83	0	-1.49573	0.739112	0.00203298	0.00210652	0.721487
0.835	0	-1.48647	0.73426	0.00153002	0.000953998	-0.119196
0.84	0	-1.48362	0.746381	0.00185067	0.000796299	0.49067
0.845	0	-1.48551	0.673217	0.00171259	0.00150407	0.298318
0.85	0	-1.49562	0.744525	0.00173738	0.000575739	0.652919
0.855	0	-1.47932	0.735626	0.00186477	0.00081713	0.716832
0.86	0	-1.48139	0.750555	0.00200849	0.00128464	0.0886454
0.865	0	-1.46524	0.687558	0.00224484	0.00084768	0.546007
0.87	0	-1.46628	0.720491	0.00207449	0.00151753	0.639311
0.875	0	-1.44605	0.680008	0.00296103	0.00326671	0.594447
0.88	0	-1.44726	0.701678	0.00302059	0.00404161	-0.664098
0.885	0	-1.43696	0.686741	0.00166543	0.00106621	0.541544
0.89	0	-1.45711	0.698605	0.00170704	0.00135839	0.526853
0.895	0	-1.45525	0.725215	0.00119893	0.00109151	0.0186776
0.9	0	-1.44263	0.698749	0.0024113	0.00182681	0.490643
0.905	0	-1.44562	0.705264	0.00198289	0.00109225	0.678788
0.91	0	-1.44541	0.728046	0.00219709	0.000910631	0.695704
0.915	0	-1.43563	0.687558	0.00149811	0.00128077	0.425568
0.92	0	-1.43395	0.695646	0.00168233	0.00137029	0.570871
0.925	0	-1.43171	0.693265	0.00177911	0.00139717	0.603427
0.93	0	-1.408	0.649403	0.00244576	0.00314897	0.634961
0.935	0	-1.40261	0.685609	0.00201376	0.00163898	0.119032
0.94	0	-1.39119	0.631094	0.00462392	0.00390596	-0.173567
0.945	0	-1.39922	0.691846	0.0015402	0.00184697	0.600516
0.95	0	-1.40673	0.689099	0.00248735	0.00103227	0.209579
0.955	0	-1.40276	0.705821	0.00183561	0.00124255	-0.655626
0.96	0	-1.37498	0.627241	0.00286366	0.00464535	-0.597553
0.965	0	-1.39452	0.689552	0.00212601	0.00169149	0.355873
0.97	0	-1.36705	0.623478	0.00221979	0.0033366	0.416174
0.975	0	-1.3469	0.633411	0.00408196	0.00721274	0.631357
0.98	0	-1.33956	0.551519	0.00295251	0.00664179	-0.0586311
0.985	0	-1.35857	0.621333	0.00296575	0.00452579	0.512524
0.99	0	-1.33351	0.596684	0.00229385	0.00245416	0.545048
0.995	0	-1.35127	0.652515	0.00308278	0.00127311	0.633289
1	0	-1.32026	0.556691	0.0037613	0.00998359	0.505236
1.005	0	-1.3404	0.64572	0.00242668	0.00210507	0.506696
1.01	0	-1.3259	0.617543	0.0029262	0.00530146	0.497482
1.015	0	-1.27269	0.435423	0.00429228	0.0205919	0.424209
1.02	0	-1.33379	0.660116	0.00300955	0.00104898	0.118817
1.025	0	-1.33286	0.650403	0.00197829	0.00154824	-0.245862
1.03	0	-1.31868	0.653862	0.00256637	0.00124496	0.634288
1.035	0	-1.29573	0.573167	0.00238511	0.00392028	0.456044
1.04	0	-1.25093	0.484286	0.0026966	0.00336161	0.32036
1.045	0	-1.20732	0.40918	0.00229353	0.0128127	-0.231955
1.05	0	-1.27584	0.56268	0.00310933	0.00778453	-0.0487712
1.055	0	-1.27695	0.581073	0.00311676	0.00294302	-0.225726
1.06	0	-1.21917	0.446206	0.00227287	0.00280373	-0.167898
1.065	0	-1.24506	0.530741	0.00279254	0.00812477	-0.0735797
1.07	0	-1.27081	0.588581	0.00238236	0.00636527	0.170192
1.075	0	-1.23487	0.543638	0.00426843	0.00722333	0.43539
1.08	0	-1.17607	0.435574	0.00303949	0.00872128	-0.13571
1.085	0	-1.20302	0.464807	0.00246069	0.00255946	0.261774
1.09	0	-1.24538	0.564304	0.00177582	0.00199607	0.529671
1.095	0	-1.21913	0.565334	0.00370707	0.0045728	0.221807
1.1	0	-1.20262	0.499036	0.00350822	0.01332	-0.1764
1.105	0	-1.14573	0.257112	0.00299818	0.0162015	0.129961
1.11	0	-1.18947	0.542572	0.00196048	0.00294638	-0.52731
1.115	0	-1.1347	0.405628	0.00502747	0.00481784	-0.290901
1.12	0	-1.19233	0.502768	0.00223553	0.00389326	-0.0340511
1.125	0	-1.1356	0.352132	0.00299211	0.010406	0.289414
1.13	0	-1.11952	0.300791	0.00213848	0.00756834	0.278478
1.135	0	-1.12288	0.348825	0.00260589	0.0165868	-0.286831
1.14	0	-1.14111	0.450023	0.00205611	0.00411867	0.125352
1.145	0	-1.08922	0.310997	0.00268928	0.00772789	-0.0540377
1.15	0	-1.08374	0.271624	0.00275061	0.0146735	0.128324
1.155	0	-1.10638	0.337064	0.00286404	0.0203064	0.0774856
1.16	0	-1.12317	0.307272	0.00417721	0.020647	0.00756413
1.165	0	-1.08105	0.332264	0.00340653	0.0071151	0.0558445
1.17	0	-1.10002	0.33688	0.00238493	0.00899416	0.210584
1.175	0	-1.10119	0.43278	0.00533002	0.0122761	-0.148968
1.18	0	-1.05094	0.170258	0.00216713	0.00485957	-0.0645035
1.185	0	-1.07289	0.283295	0.00238338	0.0166635	-0.021702
1.19	0	-1.04313	0.237445	0.00263416	0.00988719	-0.117019
1.195	0	-1.07273	0.347612	0.00266783	0.00931729	0.129664
1.2	0	-1.11619	0.463007	0.00254712	0.00623517	-0.202349
1.205	0	-1.02885	0.241126	0.00350216	0.010012	0.135029
1.21	0	-1.07915	0.420014	0.0024704	0.00864668	-0.150801
1.215	0	-1.03719	0.302503	0.00170441	0.00481191	-0.0753763
1.22	0	-1.02526	0.232098	0.00226133	0.00915556	-0.153146
1.225	0	-1.00026	0.151031	0.00205968	0.00650977	-0.0148286
1.23	0	-0.989834	0.26862	0.0032335	0.00743312	-0.132821
1.235	0	-1.0156	0.257146	0.00418	0.0075367	-0.178237
1.24	0	-1.0007	0.250823	0.00193	0.0108268	0.0076471
1.245	0	-0.967875	0.132477	0.00264276	0.0041331	0.0616025
1.25	0	-1.01054	0.284513	0.00223142	0.0107012	0.221323
1.255	0	-0.988947	0.20034	0.00213842	0.00702093	-0.112838
1.26	0	-0.984218	0.226009	0.0016405	0.00564988	-0.16107
1.265	0	-0.985076	0.224929	0.00215907	0.00556062	-0.178977
1.27	0	-0.993656	0.226213	0.00210543	0.00761052	0.17903
1.275	0	-0.938786	0.171992	0.00381757	0.00515199	-0.0336587
1.28	0	-0.952182	0.242545	0.00173036	0.00274447	0.201277
1.285	0	-0.942216	0.145995	0.0024279	0.00604423	-0.0464139
1.29	0	-0.969342	0.248285	0.00157753	0.00883533	-0.11586
1.295	0	-0.943787	0.158244	0.00288787	0.00333054	-0.0878062
1.3	0	-0.949583	0.266918	0.00311111	0.00427453	-0.153181
1.305	0	-0.955845	0.188102	0.00185514	0.00365202	-0.0769569
1.31	0	-0.925203	0.152857	0.00263351	0.00263944	-0.0376375
1.315	0	-0.921319	0.1801	0.00235999	0.00519516	-0.089275
1.32	0	-0.913081	0.212076	0.00325661	0.00897284	-0.0422435
1.325	0	-0.925395	0.16049	0.00161802	0.00337256	0.0760138
1.33	0	-0.925182	0.175502	0.00136303	0.00518165	0.126711
1.335	0	-0.893879	0.155679	0.00225743	0.00438114	-0.11479
1.34	0	-0.914994	0.209979	0.00198422	0.00483697	0.06977
1.345	0	-0.917843	0.225408	0.00381969	0.0149526	0.0294363
1.35	0	-0.907354	0.202062	0.00181605	0.00536888	0.0128362
1.355	0	-0.906654	0.238888	0.00206823	0.00413732	0.183219
1.36	0	-0.886224	0.161413	0.00191511	0.00483507	0.0290583
1.365	0	-0.891403	0.164134	0.00214044	0.00283186	0.0917221
1.37	0	-0.88682	0.239013	0.00245701	0.00805246	0.0866765
1.375	0	-0.889283	0.192775	0.00224583	0.0039766	-0.0662532
1.38	0	-0.871069	0.200116	0.00232882	0.00539031	0.0199544
1.385	0	-0.872271	0.12935	0.00196653	0.00220131	-0.0499016
1.39	0	-0.871677	0.181333	0.00280926	0.0092137	-0.0914018
1.395	0	-0.828814	0.109198	0.00190355	0.0019271	-0.0224355
1.4	0	-0.855925	0.1165	0.00203993	0.00204013	-0.00049263
1.405	0	-0.859079	0.189552	0.00157837	0.00402117	0.0919188
1.41	0	-0.84665	0.161871	0.00158994	0.00416977	0.107424
1.415	0	-0.849768	0.161453	0.00193974	0.00379476	-0.000601528
1.42	0	-0.833484	0.113898	0.00156323	0.00301994	-0.00578729
1.425	0	-0.835652	0.177395	0.00177598	0.00397146	0.0777688
1.43	0	-0.829458	0.186143	0.00189407	0.00552069	0.0184308
1.435	0	-0.820753	0.1418	0.00213382	0.00241504	0.0320409
1.44	0	-0.779307	0.103044	0.00162156	0.0016525	-0.0518873
1.445	0	-0.811555	0.168796	0.00170724	0.00408492	-0.0988679
1.45	0	-0.801597	0.152963	0.00159039	0.00348362	-0.00223293
1.455	0	-0.805171	0.139045	0.00167314	0.00267683	-0.011578
1.46	0	-0.809911	0.127991	0.00159318	0.00297926	0.0852892
1.465	0	-0.806333	0.188175	0.00188254	0.00573037	-0.0755624
1.47	0	-0.802277	0.152278	0.00170124	0.0026275	-0.0457177
1.475	0	-0.796089	0.113576	0.00130046	0.00174113	-0.0507937
1.48	0	-0.804379	0.178561	0.0015127	0.00386814	-0.0721719
1.485	0	-0.768184	0.15753	0.00142614	0.00228688	0.109695
1.49	0	-0.783553	0.105333	0.00171106	0.00174497	0.0101848
1.495	0	-0.795002	0.156555	0.00210403	0.00543026	0.0711853
1.5	0	-0.768573	0.113778	0.00132714	0.00289378	-0.0129503
1.505	0	-0.780411	0.178582	0.00131861	0.0030961	0.0947716
1.51	0	-0.765827	0.1177	0.00189009	0.00288589	0.00230813
1.515	0	-0.775867	0.122809	0.00107479	0.00228916	-0.0355719
1.52	0	-0.746819	0.105693	0.0013022	0.00189558	-0.0156232
1.525	0	-0.771784	0.136206	0.0016358	0.00279359	0.0038491
1.53	0	-0.75677	0.116422	0.00122993	0.00292163	-0.0393564
1.535	0	-0.757825	0.127409	0.00171039	0.0033117	-0.0518453
1.54	0	-0.771143	0.119453	0.00147675	0.00250929	0.0230472
1.545	0	-0.745816	0.115013	0.00145027	0.00273078	0.00814417
1.55	0	-0.743919	0.10137	0.0014581	0.00213968	-0.0386292
1.555	0	-0.744318	0.11382	0.00152676	0.00216908	-0.0410453
1.56	0	-0.740604	0.129742	0.00190443	0.00231968	0.0440505
1.565	0	-0.718867	0.135097	0.00216732	0.00232763	0.0107908
1.57	0	-0.732536	0.135011	0.00140193	0.00278109	-0.00304357
1.575	0	-0.726079	0.140212	0.00141894	0.0039508	0.085245
1.58	0	-0.732825	0.117822	0.00140205	0.00217511	0.0187811
1.585	0	-0.724911	0.0909328	0.0013805	0.00201931	-0.0166094
1.59	0	-0.700791	0.114066	0.00153465	0.00192553	0.0219332
1.595	0	-0.76404	0.166859	0.0017278	0.00456119	-0.0550169
1.6	0	-0.719523	0.119712	0.00171249	0.00206195	-0.00999592
1.605	0	-0.711731	0.137404	0.00104109	0.0021976	-0.0709081
1.61	0	-0.719959	0.108252	0.00119499	0.00191629	0.0268389
1.615	0	-0.695757	0.115523	0.00119634	0.00175466	0.00313172
1.62	0	-0.720513	0.140165	0.00132312	0.00249801	0.0311688
1.625	0	-0.715723	0.13591	0.00149406	0.00300494	0.0320197
1.63	0	-0.710133	0.138594	0.00141061	0.00185917	-0.0623482
1.635	0	-0.690682	0.123487	0.00149645	0.00154874	-0.013528
1.64	0	-0.698642	0.100135	0.00100103	0.00153974	0.0161631
1.645	0	-0.701999	0.104683	0.00117281	0.00167933	-0.00316061
1.65	0	-0.709201	0.123137	0.00151978	0.0020915	0.0383963
1.655	0	-0.683731	0.0999365	0.001553	0.00158388	-0.0311795
1.66	0	-0.701817	0.135358	0.00114855	0.00205445	0.00504426
1.665	0	-0.690685	0.116474	0.00121453	0.00231454	0.0119675
1.67	0	-0.688657	0.116833	0.001233	0.00218582	-0.0160764
1.675	0	-0.680828	0.106931	0.00115723	0.00231813	0.00716544
