Temperature	Field	Energy	Magnetization	SpecificHeat	Susceptibility	M_x
1.1	0.1	-1.69153	0.663822	0.00278012	0.00189634	0.645812
1.1	0.05	-1.6085	0.567993	0.00297537	0.00290728	0.533055
1.1	1.38778e-17	-1.5291	0.306994	0.00187761	0.0104508	-0.279876
1.1	-0.05	-1.61412	0.50646	0.00259541	0.00687262	-0.496745
1.1	-0.1	-1.71805	0.639024	0.00189211	0.00168362	-0.622818
1.1	-0.15	-1.75502	0.702237	0.00234273	0.00102345	-0.696294
1.1	-0.2	-1.77846	0.72365	0.00198488	0.000702481	-0.717116
1.5	-0.2	-1.18552	0.418928	0.00299399	0.0037548	-0.407922
1.5	-0.15	-1.15858	0.395089	0.00179334	0.00212784	-0.379425
1.5	-0.1	-1.08979	0.302759	0.00194433	0.00271484	-0.277348
1.5	-0.05	-1.05471	0.203404	0.00184576	0.00480709	-0.18323
1.5	-1.38778e-17	-1.03771	0.118124	0.00166133	0.00245673	-0.0368555
1.5	0.05	-1.08603	0.1991	0.00240714	0.00402415	0.171283
1.5	0.1	-1.13193	0.309753	0.00219657	0.00341222	0.293653
1.5	0.15	-1.19083	0.38934	0.00182573	0.00166654	0.376622
1.5	0.2	-1.26538	0.461316	0.00238467	0.00251578	0.452403
1.5	0.2	-1.26803	0.470741	0.00362604	0.00267895	0.464153
1.5	0.15	-1.19268	0.368153	0.00298597	0.00506939	0.356231
1.5	0.1	-1.15079	0.302747	0.00197616	0.00414139	0.285038
1.5	0.05	-1.10422	0.206706	0.00148174	0.00262037	0.126949
1.5	1.38778e-17	-1.09541	0.153244	0.00164447	0.00460188	-0.0260978
1.5	-0.05	-1.14226	0.225191	0.00146962	0.00400651	-0.186235
1.5	-0.1	-1.17762	0.340927	0.00227556	0.00331458	-0.310718
1.5	-0.15	-1.21868	0.373353	0.00231265	0.00188829	-0.362085
1.5	-0.2	-1.27762	0.42716	0.0034675	0.00379937	-0.416087
2	-0.2	-0.828154	0.230209	0.00123233	0.00161026	-0.218031
2	-0.15	-0.80332	0.170613	0.000829543	0.00174439	-0.148795
2	-0.1	-0.760911	0.0989018	0.00096245	0.00128914	-0.0703792
2	-0.05	-0.759264	0.105166	0.000680594	0.00137781	-0.0410922
2	-1.38778e-17	-0.76287	0.0912493	0.000793345	0.000923277	0.0043203
2	0.05	-0.793808	0.121598	0.000782466	0.00228501	0.067982
